Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,1486.23,1505.89,1477.47,1504.85,1504.85,323100600
2020-09-14,1513.43,1515.66,1506.41,1511.36,1511.36,247327400
2020-09-15,1510.36,1532.04,1503.19,1531.28,1531.28,182127100
2020-09-17,1541.14,1541.14,1508.01,1513.07,1513.07,314591800
2020-09-18,1511.78,1524.07,1503.43,1506.63,1506.63,284135400
2020-09-21,1510.42,1511.77,1496.97,1499.43,1499.43,156236400
2020-09-22,1495.28,1511.9,1494.93,1505.78,1505.78,135822100
2020-09-23,1507.29,1509.15,1491.17,1496.48,1496.48,145529900
2020-09-24,1494.72,1506.6,1492.98,1500.8,1500.8,209154000
2020-09-25,1507.95,1516,1505.05,1509.14,1509.14,161816600
2020-09-28,1510.26,1519.05,1507.35,1511.66,1511.66,126847900
2020-09-29,1512.75,1517.33,1503.9,1503.9,1503.9,171248200
2020-09-30,1505.77,1512.95,1497.78,1504.82,1504.82,110856400
2020-10-01,1501.58,1503.86,1491.13,1496.77,1496.77,84881100
2020-10-02,1494.84,1501.85,1489.66,1500.3,1500.3,122647500
2020-10-05,1501.08,1513.37,1498.81,1512.43,1512.43,147917700
2020-10-06,1515.7,1522.32,1508.18,1509.47,1509.47,114933600
2020-10-07,1509.24,1510.35,1489.56,1489.56,1489.56,136587800
2020-10-08,1495.52,1519.43,1495.28,1519.43,1519.43,89887800
2020-10-09,1516.94,1532.53,1512.74,1530.35,1530.35,87613900
2020-10-12,1525.92,1526.02,1512.74,1518.43,1518.43,111076300
2020-10-13,1514.18,1527.04,1512.46,1525.2,1525.2,134541300
2020-10-14,1523.57,1524.23,1516.1,1523.25,1523.25,217994300
2020-10-15,1521.44,1524.03,1512.96,1513.95,1513.95,134270100
2020-10-16,1519.33,1520.31,1503.84,1503.84,1503.84,152911800
2020-10-19,1507.21,1521.91,1505.92,1518.11,1518.11,132510200
2020-10-20,1518.5,1520.97,1510.69,1510.97,1510.97,130512500
2020-10-21,1512.04,1513.2,1492.19,1492.4,1492.4,183844000
2020-10-22,1492.95,1500.05,1485.77,1498.8,1498.8,163496000
2020-10-23,1499.76,1502.67,1489.83,1494.64,1494.64,130007200
2020-10-26,1495.56,1497.54,1482.15,1494.61,1494.61,102464600
2020-10-27,1492.11,1504.55,1489.98,1500.35,1500.35,140621900
2020-10-28,1505.48,1505.64,1492.11,1495.2,1495.2,105403500
2020-10-30,1494.31,1494.87,1461.05,1466.89,1466.89,165737400
2020-11-02,1465.47,1468.09,1452.13,1466.46,1466.46,114250300
2020-11-03,1469.11,1470.69,1460.6,1461.45,1461.45,92265300
2020-11-04,1464.49,1473.53,1462.37,1464.61,1464.61,88912900
2020-11-05,1468.86,1501.49,1467.84,1501.49,1501.49,128922500
2020-11-06,1500.8,1519.64,1497.32,1519.64,1519.64,139420600
2020-11-09,1521.63,1533.05,1513.21,1524.32,1524.32,109245000
2020-11-10,1521.95,1575.07,1516.54,1575.07,1575.07,592756400
2020-11-11,1572.69,1572.69,1550.44,1570.08,1570.08,242168200
2020-11-12,1565.99,1592.28,1558.71,1590.78,1590.78,283572200
2020-11-13,1588.38,1592.19,1572,1589.69,1589.69,178410200
2020-11-16,1593.35,1602.23,1587.06,1599.66,1599.66,328920300
2020-11-17,1599.62,1613.34,1593.02,1610.15,1610.15,467715300
2020-11-18,1611.08,1611.58,1595.09,1604.75,1604.75,237706200
2020-11-19,1595.79,1596.55,1583.68,1583.68,1583.68,174677700
2020-11-20,1584.99,1599.49,1579.49,1593.75,1593.75,192318500
2020-11-23,1593.26,1600.58,1592.71,1597.48,1597.48,139314000
2020-11-24,1588.53,1599.98,1578.39,1578.39,1578.39,186434400
2020-11-25,1582.31,1600.2,1582.31,1597.58,1597.58,196393300
2020-11-26,1597.69,1612.78,1590.65,1612.11,1612.11,184343200
2020-11-27,1615.2,1618.68,1605.68,1607.59,1607.59,204625000
2020-11-30,1606.77,1614.77,1562.71,1562.71,1562.71,415540700
2020-12-01,1580.17,1604.57,1580.17,1602.26,1602.26,218992400
2020-12-02,1604.49,1605.6,1592.93,1598.72,1598.72,221580800
2020-12-03,1601.13,1628.26,1599.36,1628.26,1628.26,181778200
2020-12-04,1627.91,1628.82,1618.54,1621.85,1621.85,156357300
2020-12-07,1624.07,1627.59,1618.98,1622.89,1622.89,155252700
2020-12-08,1625.44,1631.72,1624.95,1631.7,1631.7,202623800
2020-12-09,1640.99,1654.15,1638.77,1646.53,1646.53,246630400
